layers,branching factor,average error,average error %,max error,max error %,size binary search,size linear search,namespace,binary,inference,pred_time_lin,pred_time_bin,pred_time,star,front
"loglinear,linear",2048,1244590.125,3.164758,6329516,3.164758,278656,262272,nm0a7ea8570c2a81b459a9,False,33.50003,3010.006947,385.613011,385.613011,False,False
"cubic,linear",524288,11032.490234375,0.204797,409594,0.204797,71303424,67109120,nm0ef962d126b549515ff0,False,47.42098,3023.9278969999996,338.59623899999997,338.59623899999997,False,False
"normal,cubic",128,3181976.0,3.5571539999999997,7114308,3.5571539999999997,33984,32960,nm13f43e219581111bacfd,False,36.3456,3012.852517,389.92791,389.92791,False,False
"cubic,linear",128,2097152.0,6.4039895,12807979,6.4039895,17664,16640,nm151150060643cdf6a68c,False,24.80356,3001.3104769999995,388.880764,388.880764,False,True
"bradix,cubic",65536,43393.2109375,0.3267465,653493,0.3267465,17301696,16777408,nm16f4339dccb68634201e,False,29.91197,3006.418887,328.420101,328.420101,False,True
"lognormal,linear",32768,65536.0,0.7467874999999999,1493575,0.7467874999999999,4456640,4194496,nm175b02aeb51ab8dad65d,False,67.15266,3043.659577,382.84873400000004,382.84873400000004,False,False
"linear,linear",8192,131072.0,0.8255245,1651049,0.8255245,1114240,1048704,nm1f0016285466642a15c0,False,30.36667,3006.8735869999996,348.34763499999997,348.34763499999997,False,True
"normal,linear",2048,374047.4375,4.184836499999999,8369673,4.184836499999999,278720,262336,nm22b9ad22c7d450bb5d42,False,35.51827,3012.0251869999997,392.631476,392.631476,False,False
"linear,linear",1024,541114.5625,3.3554145,6710829,3.3554145,139392,131200,nm2fa2da5e43d08b648adf,False,28.7389,3005.2458169999995,380.851881,380.851881,False,False
"histogram,cubic",128,368034.96875,0.723878,1447756,0.723878,67150976,67149952,nm385635776d0b8643c430,False,37.58505,3014.091967,353.28112400000003,353.28112400000003,False,False
"bradix,linear",1024,1248768.75,5.2118554999999995,10423711,5.2118554999999995,139456,131264,nm39f14b96106d20e118b0,False,24.15569,3000.6626069999998,388.558525,388.558525,True,True
"radix,cubic",1024,1048576.0,3.6432675,7286535,3.6432675,270464,262272,nm3a0b572f574c73d96933,False,22.77414,2999.2810569999997,376.35645,376.35645,False,False
"normal,linear",128,3185061.75,3.375293,6750586,3.375293,17600,16576,nm3be9c8b56571746ddc5e,False,33.70867,3010.2155869999997,385.821651,385.821651,False,True
"histogram,linear",128,338925.40625,0.5105045,1021009,0.5105045,67134592,67133568,nm3d122556d39fd8745c84,False,36.47964,3012.9865569999997,342.003148,342.003148,False,False
"cubic,linear",8192,161682.015625,1.255482,2510964,1.255482,1114368,1048832,nm3dfcd5b0ee81140c1161,False,25.77114,3002.2780569999995,356.98338800000005,356.98338800000005,False,False
"loglinear,linear",524288,23412.763671875,0.3641715,728343,0.3641715,71303296,67108992,nm4472dc0b1c511517a8c8,False,41.00219,3017.509107,341.06012,341.06012,False,False
"lognormal,linear",2048,267746.75,2.7409895,5481979,2.7409895,278720,262336,nm49a96fd44cf5c1cbd3a3,False,62.29338,3038.800297,411.715076,411.715076,False,False
"normal,cubic",32768,50360.515625,0.2494315,498863,0.2494315,8650944,8388800,nm4e6cd6ea7d5e47e9cf43,False,41.96479,3018.4717069999997,334.600737,334.600737,False,False
"normal,cubic",2048,382498.34375,0.8208395,1641679,0.8208395,540864,524480,nm51be3c3a8eb838c64994,False,36.26669,3012.7736069999996,353.436757,353.436757,False,True
"lognormal,cubic",524288,7180.4794921875,0.0689155,137831,0.0689155,138412224,134217920,nm58a347778594705b4cc4,False,91.08593,3067.592847,355.48474000000004,355.48474000000004,False,False
"cubic,linear",65536,44700.25,0.379772,759544,0.379772,8913152,8388864,nm5977238fee1957ddfb0c,False,30.18023,3006.6871469999996,330.23816,330.23816,False,True
"bradix,cubic",1024,1048576.0,3.054265,6108530,3.054265,270528,262336,nm63529a01456c1703e658,False,24.82023,3001.3271469999995,376.249988,376.249988,False,False
"linear,linear",128,2339913.25,5.746346,11492692,5.746346,17536,16512,nm64a9844b19e9bdaeaf54,False,27.90212,3004.409037,392.89774,392.89774,False,True
"lognormal,cubic",128,2692245.0,5.836464,11672928,5.836464,33984,32960,nm66cdb41091f510e184d4,False,61.67498,3038.1818969999995,426.6706,426.6706,False,False
"loglinear,linear",128,4194304.0,11.5551725,23110345,11.5551725,17536,16512,nm66f7fdbd128bba9a85f7,False,28.67595,3005.1828669999995,405.088045,405.088045,False,False
"normal,cubic",524288,9350.22265625,0.080985,161970,0.080985,138412224,134217920,nm6999faf78ae71400e91b,False,71.77001,3048.276927,340.042389,340.042389,False,False
"histogram,linear",256,135187.640625,0.269751,539502,0.269751,67160192,67158144,nm6e47b12315bce16cca00,False,36.35561,3012.862527,330.117925,330.117925,False,False
"bradix,linear",524288,8192.0,0.10410549999999999,208211,0.10410549999999999,71303360,67109056,nm70018bdb525e4effe242,False,33.68264,3010.1895569999997,306.988707,306.988707,True,True
"radix,linear",1024,1167884.75,2.8121575,5624315,2.8121575,139392,131200,nm784344a054c7dae37029,False,21.16423,2997.6711469999996,370.585926,370.585926,True,True
"radix,linear",8192,267710.28125,2.3015545,4603109,2.3015545,1114240,1048704,nm80e7c8bd88e788131bcd,False,21.84447,2998.3513869999997,369.997483,369.997483,True,True
"loglinear,cubic",32768,89368.1484375,0.2454875,490975,0.2454875,8650880,8388736,nm81cc8ccbf72da3a9408e,False,38.43903,3014.9459469999997,331.074977,331.074977,False,True
"normal,linear",524288,11229.6884765625,0.252211,504422,0.252211,71303360,67109056,nm81d948def50f7b191ee4,False,59.86053,3036.3674469999996,352.49647699999997,352.49647699999997,False,False
"cubic,cubic",8192,215455.78125,0.564612,1129224,0.564612,2162944,2097408,nm825240934c55504a7276,False,28.99301,3005.499927,339.52141200000005,339.52141200000005,False,True
"radix,cubic",65536,64985.45703125,0.340148,680296,0.340148,17301632,16777344,nm86ebb0dde3c2c9a80391,False,26.5352,3003.0421169999995,325.04333099999997,325.04333099999997,False,True
"lognormal,cubic",2048,419908.75,1.904676,3809352,1.904676,540864,524480,nm89e331c6a499cc9d9309,False,63.36734,3039.8742569999995,399.655933,399.655933,False,False
"bradix,cubic",128,4194304.0,10.9127315,21825463,10.9127315,33984,32960,nm8b891efe08fdb8dcb9c2,False,23.8614,3000.3683169999995,400.273495,400.273495,False,False
"bradix,linear",65536,49939.53515625,0.989075,1978150,0.989075,8913088,8388800,nm922ce4cd4c438b55f2a6,False,26.6491,3003.156017,346.26647799999995,346.26647799999995,True,True
"cubic,cubic",524288,10124.0126953125,0.0537045,107409,0.0537045,138412288,134217984,nm94a5a184c7146a98752c,False,58.88096,3035.3878769999997,317.721783,317.721783,False,False
"linear,linear",65536,58199.09765625,0.6558465,1311693,0.6558465,8913024,8388736,nm953abf6dfb01eeb62cbc,False,33.62084,3010.1277569999997,347.70217099999996,347.70217099999996,False,False
"bradix,cubic",524288,8597.1376953125,0.041092000000000004,82184,0.041092000000000004,138412224,134217920,nm955433f1b9fb8f340799,False,37.58941,3014.0963269999997,293.87783299999995,293.87783299999995,False,True
"cubic,cubic",128,2450106.5,8.532173,17064346,8.532173,34048,33024,nm9acb238ad70b5485ebc3,False,26.40406,3002.9109769999995,398.492871,398.492871,False,False
"radix,cubic",8192,364816.21875,1.7833310000000002,3566662,1.7833310000000002,2162816,2097280,nm9ad223717735eeb67c2f,False,24.01084,3000.5177569999996,360.299433,360.299433,False,False
"linear,cubic",128,2097152.0,5.4932300000000005,10986460,5.4932300000000005,33920,32896,nma3d4334e8c1a09eb2038,False,29.4011,3005.9080169999997,393.80393499999997,393.80393499999997,False,True
"bradix,linear",8192,242531.0,0.640173,1280346,0.640173,1114304,1048768,nma5b9c9866987e4ab8e1c,False,24.35697,3000.8638869999995,338.43830099999997,338.43830099999997,True,True
"linear,cubic",1024,655261.6875,2.6839315,5367863,2.6839315,270464,262272,nmaad476e305e2c5b8b7b4,False,30.38034,3006.887257,379.802036,379.802036,False,False
"normal,linear",32768,74507.2421875,0.5348435,1069687,0.5348435,4456640,4194496,nmaaea9a0f5f743578b6a5,False,38.7651,3015.272017,344.654295,344.654295,False,True
"histogram,cubic",64,740898.375,1.4308174999999999,2861635,1.4308174999999999,67129984,67129472,nmafb3e788b694e4c8a67a,False,36.8755,3013.382417,373.21768099999997,373.21768099999997,False,False
"linear,cubic",8192,162505.84375,1.2379095,2475819,1.2379095,2162816,2097280,nmb05725297db97f6bdb27,False,32.72475,3009.2316669999996,363.936998,363.936998,False,False
"histogram,cubic",256,186362.0,0.34144399999999997,682888,0.34144399999999997,67192960,67190912,nmb3d3c79f0c5c2856da2a,False,37.79849,3014.305407,336.306621,336.306621,False,False
"histogram,linear",64,601153.0,1.308429,2616858,1.308429,67121792,67121280,nmb82848701170bd779ae4,False,35.58137,3012.0882869999996,366.79361800000004,366.79361800000004,False,False
"lognormal,cubic",32768,51348.7109375,0.2972415,594483,0.2972415,8650944,8388800,nmb88bd44bb060ca6c6850,False,68.1805,3044.6874169999996,365.172149,365.172149,False,False
"bradix,linear",128,6668574.0,10.7197105,21439421,10.7197105,17600,16576,nmb963040fb420389a7050,False,22.94046,2999.4473769999995,397.41712299999995,397.41712299999995,True,True
"radix,cubic",524288,17371.421875,0.12146699999999999,242934,0.12146699999999999,138412160,134217856,nmc6803cbde4f6b36ecb97,False,32.89848,3009.4053969999995,309.47693999999996,309.47693999999996,False,True
"bradix,cubic",8192,207014.328125,1.1495825,2299165,1.1495825,2162880,2097344,nmc6ccd28cc2bc352046a2,False,25.77772,3002.2846369999997,354.79212,354.79212,False,False
"radix,cubic",128,8388608.0,14.061114,28122228,14.061114,33920,32896,nmcb07f98b5649e22cb788,False,21.6011,2998.1080169999996,399.07074,399.07074,False,True
"loglinear,linear",32768,92358.2578125,0.886314,1772628,0.886314,4456576,4194432,nmd3ea9e3218e99e46cf01,False,32.50813,3009.015047,350.48909499999996,350.48909499999996,False,False
"radix,linear",128,16777216.0,24.1812795,48362559,24.1812795,17536,16512,nmd588b1b0c08d9bced908,False,20.23091,2996.737827,410.09740999999997,410.09740999999997,True,True
"loglinear,cubic",128,3190927.0,11.2059885,22411977,11.2059885,33920,32896,nmd82288547d42fd684319,False,31.71982,3008.2267369999995,408.13191500000005,408.13191500000005,False,False
"cubic,linear",1024,1048576.0,1.680674,3361348,1.680674,139520,131328,nmdcd20e2971166bf6d08e,False,24.01075,3000.5176669999996,359.14856700000007,359.14856700000007,False,True
"linear,cubic",524288,40318.1328125,1.2376245,2475249,1.2376245,138412160,134217856,nmde0390a17f5502eab270,False,61.08965,3037.5965669999996,392.30189800000005,392.30189800000005,False,False
"radix,linear",524288,17674.291015625,0.371465,742930,0.371465,71303296,67108992,nme1f8408423add6b16741,False,27.84745,3004.354367,327.90538,327.90538,True,True
"loglinear,cubic",524288,19760.5546875,0.098766,197532,0.098766,138412160,134217856,nme391deb527de3dd36de2,False,54.92115,3031.428067,326.48462900000004,326.48462900000004,False,True
"lognormal,linear",128,2097152.0,6.347064,12694128,6.347064,17600,16576,nme63caa3ed7886884e231,False,60.19219,3036.699107,424.269394,424.269394,False,False
"cubic,cubic",1024,700951.0625,1.5769354999999998,3153871,1.5769354999999998,270592,262400,nme8f4246f1c490abe1a52,False,26.78259,3003.2895069999995,361.801502,361.801502,False,True
"radix,linear",65536,55305.2109375,0.4935005,987001,0.4935005,8913024,8388736,nmea9ba934de324339f937,False,23.23887,2999.745787,328.762378,328.762378,True,True
"cubic,cubic",65536,38871.64453125,0.2120735,424147,0.2120735,17301760,16777472,nmedae55b59cf40eea5366,False,36.16681,3012.673727,327.342069,327.342069,False,True
"lognormal,linear",524288,10310.78515625,0.11324499999999998,226490,0.11324499999999998,71303360,67109056,nmef2eb6d8f3b3ee85aae4,False,81.76871,3058.2756269999995,358.34716999999995,358.34716999999995,False,False
"linear,linear",524288,34253.12109375,0.6557295000000001,1311459,0.6557295000000001,71303296,67108992,nmf1c3a8533d05302435de,False,48.08117,3024.5880869999996,362.16250099999996,362.16250099999996,False,False
"linear,cubic",65536,46320.59375,0.9803655,1960731,0.9803655,17301632,16777344,nmf387c90e910429466e77,False,39.45166,3015.958577,359.069038,359.069038,False,False
"loglinear,cubic",2048,747896.625,1.5079835,3015967,1.5079835,540800,524416,nmfa3761b0b6344ed182eb,False,33.62926,3010.136177,368.648172,368.648172,False,True
